Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,Fixed Assets,Foreign Exchange Gains / Losses,Intangible Assets,Interest,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Earnings,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Sep-18,0,106.91,131.15,151.15,397.2,397.2,0,1238,3487,790,1278,140.77,65.48,2183.699951,8355,35073,4.85,3051,424,131.15,50,34.52,36.78,16.1,5.56,63.22,0.05,14812,540949.3,375,33014,10678,94,10,130,25,3894.24,39,1503,26,5.59,-26827,5634,21587,488,25.92,7620,25241,132.15,2186,2186,0,8931,92258,6998,1725,643,5416,7962,7620,10153,10283,8558,10153,34.52,175.96,32.82,167.34,32.79,167.18,7.17,5.59,4.85,0,75675,63.21,27.72,41.5,33.27,509.72,181,2793,171,768,9430,2533,91056,91056,68222,14058,0,30792,22834,1132,75675,191,75866,4775,18882,768,424
Dec-18,0,106.91,131.15,151.15,397.2,397.2,0,1238,3487,790,1278,140.77,65.48,1893.050049,8355,35073,4.85,3051,424,131.15,50,34.52,36.78,16.1,5.56,63.22,0.05,15175,540949.3,375,33014,10678,94,10,8,25,3894.24,39,1503,26,5.59,-26827,5634,21587,488,25.92,7486,25241,132.15,2186,2186,0,8931,92258,7237,1873,643,5416,7962,7486,9987,9995,8122,9987,34.52,175.96,32.82,167.34,32.79,167.18,7.17,5.59,4.85,0,75675,63.21,27.72,41.5,33.27,509.72,181,2793,171,768,9430,2501,91056,91056,68222,14058,0,30964,22834,1132,75675,191,75866,4775,18882,768,430
Mar-19,0,123.78,79.34,342.58,210.39,210.39,0,834,8900,1278,3327,84.75,68.27,2001.650024,4721,28280,4.18,2097,339,79.34,30,31.73,33.54,17.4,6.02,66.46,0.04,15264,741250,375,49336,10495,-7,139,20,10,12317,0,2,0,6.09,-27825,5883,23998,2049,24.4,7823,30065,80.17,2189,2189,0,11030,119499,7740,1648,1367,5685,10795,7823,10223,10243,8595,10223,34.57,113.58,33.18,109,33.04,108.55,9.51,6.09,4.18,447,78523,66.45,30.21,50.71,38.1,328.45,0,7018,174,0,9522,2400,99500,99500,79032,18896,0,32046,20468,1706,78523,375,78898,7692,24029,0,447
Jun-19,0,123.78,79.34,342.58,210.39,210.39,0,834,8900,1278,3327,84.75,68.27,2227.199951,4721,28280,4.18,2097,339,79.34,30,31.73,33.54,17.4,6.02,66.46,0.04,15723,741250,375,49336,10495,-7,139,233,10,12317,0,2,0,6.09,-27825,5883,23998,2049,24.4,8714,30065,80.17,2189,2189,0,11030,119499,7273,2205,1367,5685,10795,8714,10997,11230,9025,10997,34.57,113.58,33.18,109,33.04,108.55,9.51,6.09,4.18,447,78523,66.45,30.21,50.71,38.1,328.45,0,7018,174,0,9522,2283,99500,99500,79032,18896,0,32657,20468,1706,78523,375,78898,7692,24029,0,636
Sep-19,0,123.78,79.34,342.58,210.39,210.39,0,834,8900,1278,3327,84.75,68.27,2099.300049,4721,28280,4.18,2097,339,79.34,30,31.73,33.54,17.4,6.02,66.46,0.04,16207,741250,375,49336,10495,-7,139,99,10,12317,0,2,0,6.09,-27825,5883,23998,2049,24.4,8636,30065,80.17,2189,2189,0,11030,119499,7186,2638,1367,5685,10795,8636,10869,10968,8330,10869,34.57,113.58,33.18,109,33.04,108.55,9.51,6.09,4.18,447,78523,66.45,30.21,50.71,38.1,328.45,0,7018,174,0,9522,2233,99500,99500,79032,18896,0,32387,20468,1706,78523,375,78898,7692,24029,0,664
Dec-19,0,123.78,79.34,342.58,210.39,210.39,0,834,8900,1278,3327,84.75,68.27,2161.699951,4721,28280,4.18,2097,339,79.34,30,31.73,33.54,17.4,6.02,66.46,0.04,16333,741250,375,49336,10495,-7,139,200,10,12317,0,2,0,6.09,-27825,5883,23998,2049,24.4,7683,30065,80.17,2189,2189,0,11030,119499,7262,1206,1367,5685,10795,7683,9774,9974,8768,9774,34.57,113.58,33.18,109,33.04,108.55,9.51,6.09,4.18,447,78523,66.45,30.21,50.71,38.1,328.45,0,7018,174,0,9522,2091,99500,99500,79032,18896,0,33040,20468,1706,78523,375,78898,7692,24029,0,677
Mar-20,0,125.08,88.64,342.58,198.31,198.31,0,781,4824,3327,3852,95.9,11.31,1826.099976,1869,25686,3.3,2219,347,88.64,73,88.69,95.89,14.94,5.17,4.11,0.05,16643,678819.75,375,51748,16903,138,239,211,5,26261.2,0,2,0,5.21,-39045,12829,26603,525,25.33,8227,33260,88.69,2189,2189,0,15057,128501,7326,2033,6234,4468,12749,8227,10351,10562,8529,10351,34.6,121.16,32.54,113.96,31.97,111.98,9.19,5.21,3.3,0,73993,4.1,31.68,52.79,44.72,350.15,0,7270,235,569,15883,2124,104975,104975,79194,24026,0,33222,25781,6581,73993,375,74368,8734,28660,569,724
Jun-20,0,125.08,88.64,342.58,198.31,198.31,0,781,4824,3327,3852,95.9,11.31,2082.149902,1869,25686,3.3,2219,347,88.64,73,88.69,95.89,14.94,5.17,4.11,0.05,16637,678819.75,375,51748,16903,138,239,118,5,26261.2,0,2,0,5.21,-39045,12829,26603,525,25.33,6096,33260,88.69,2189,2189,0,15057,128501,6393,706,6234,4468,12749,6096,8443,8561,7855,8443,34.6,121.16,32.54,113.96,31.97,111.98,9.19,5.21,3.3,0,73993,4.1,31.68,52.79,44.72,350.15,0,7270,235,569,15883,2347,104975,104975,79194,24026,0,31624,25781,6581,73993,375,74368,8734,28660,569,739
Sep-20,0,125.08,88.64,342.58,198.31,198.31,0,781,4824,3327,3852,95.9,11.31,2492.300049,1869,25686,3.3,2219,347,88.64,73,88.69,95.89,14.94,5.17,4.11,0.05,17211,678819.75,375,51748,16903,138,239,149,5,26261.2,0,2,0,5.21,-39045,12829,26603,525,25.33,7448,33260,88.69,2189,2189,0,15057,128501,6068,1734,6234,4468,12749,7448,10916,11065,9331,9698,34.6,121.16,32.54,113.96,31.97,111.98,9.19,5.21,3.3,0,73993,4.1,31.68,52.79,44.72,350.15,0,7270,235,569,15883,2250,104975,104975,79194,24026,0,33365,25781,6581,73993,375,74368,8734,28660,569,755
Dec-20,0,125.08,88.64,342.58,198.31,198.31,0,781,4824,3327,3852,95.9,11.31,2862.75,1869,25686,3.3,2219,347,88.64,73,88.69,95.89,14.94,5.17,4.11,0.05,17779,678819.75,375,51748,16903,138,239,159,5,26261.2,0,2,0,5.21,-39045,12829,26603,525,25.33,9242,33260,88.69,2189,2189,0,15057,128501,6500,2096,6234,4468,12749,9242,11844,12003,9907,11844,34.6,121.16,32.54,113.96,31.97,111.98,9.19,5.21,3.3,0,73993,4.1,31.68,52.79,44.72,350.15,0,7270,235,569,15883,2602,104975,104975,79194,24026,0,34957,25781,6581,73993,375,74368,8734,28660,569,771
Mar-21,0,1.27,82.78,338.01,202.15,202.15,0,861,3142,3852,1112,91.93,68.11,3177.850098,1609,28324,2.92,3160,365,82.78,38,31.89,35.04,25.65,8.62,64.96,0.03,17419,1172570,370,54800,16920,37,362,111,7,0,0,2,0,8.65,-32023,-4576,33822,-2740,22.77,8174,30960,83.68,2405,2405,0,19213,130720,7646,864,5697,3734,15979,8174,10917,11028,10164,10917,33.61,123.54,31.37,115.29,30.08,110.55,15.72,8.65,2.92,0,74424,64.95,28.3,52.75,41.39,367.47,0,10486,1350,241,15697,2743,109381,109381,83160,28525,0,36017,26221,6062,74424,370,74794,7962,25222,241,788
Jun-21,0,1.27,82.78,338.01,202.15,202.15,0,861,3142,3852,1112,91.93,68.11,3345.75,1609,28324,2.92,3160,365,82.78,38,31.89,35.04,25.65,8.62,64.96,0.03,19212,1172570,370,54800,16920,37,362,120,7,0,0,2,0,8.65,-32023,-4576,33822,-2740,22.77,8281,30960,83.68,2405,2405,0,19213,130720,7317,756,5697,3734,15979,8281,11020,11140,10384,11020,33.61,123.54,31.37,115.29,30.08,110.55,15.72,8.65,2.92,0,74424,64.95,28.3,52.75,41.39,367.47,0,10486,1350,241,15697,2739,109381,109381,83160,28525,0,37722,26221,6062,74424,370,74794,7962,25222,241,809
Sep-21,0,1.27,82.78,338.01,202.15,202.15,0,861,3142,3852,1112,91.93,68.11,3775.550049,1609,28324,2.92,3160,365,82.78,38,31.89,35.04,25.65,8.62,64.96,0.03,20007,1172570,370,54800,16920,37,362,117,7,0,0,2,0,8.65,-32023,-4576,33822,-2740,22.77,10152,30960,83.68,2405,2405,0,19213,130720,7673,2524,5697,3734,15979,10152,13198,13315,10791,13198,33.61,123.54,31.37,115.29,30.08,110.55,15.72,8.65,2.92,0,74424,64.95,28.3,52.75,41.39,367.47,0,10486,1350,241,15697,3046,109381,109381,83160,28525,0,39315,26221,6062,74424,370,74794,7962,25222,241,844
Dec-21,0,1.27,82.78,338.01,202.15,202.15,0,861,3142,3852,1112,91.93,68.11,3738.350098,1609,28324,2.92,3160,365,82.78,38,31.89,35.04,25.65,8.62,64.96,0.03,20535,1172570,370,54800,16920,37,362,126,7,0,0,2,0,8.65,-32023,-4576,33822,-2740,22.77,9959,30960,83.68,2405,2405,0,19213,130720,8605,2225,5697,3734,15979,9959,12879,13005,10780,12879,33.61,123.54,31.37,115.29,30.08,110.55,15.72,8.65,2.92,0,74424,64.95,28.3,52.75,41.39,367.47,0,10486,1350,241,15697,2920,109381,109381,83160,28525,0,40845,26221,6062,74424,370,74794,7962,25222,241,925
Mar-22,0,1.39,103.24,334.35,210.86,210.86,0,1146,13692,1112,8197,113.96,68.08,3739.949951,2050,29262,2.49,2779,129,103.24,43,31.92,34.87,25.21,8.45,65.13,0.03,21343,1354708.8,366,63689,17670,113,1018,123,19,0,0,8,0,8.53,-32797,3642,36127,7085,23.81,9795,38187,104.34,2405,2405,0,26442,155240,9404,1981,6060,4209,15714,9795,12626,12749,10768,12626,33.51,146.81,31.31,137.18,31.01,135.86,17.73,8.53,2.48,0,76807,65.12,31.49,60.23,49.48,438.09,0,5653,1377,216,15506,2831,121263,121263,94192,37901,0,42459,27071,6189,76807,366,77173,10082,29852,216,944
Jun-22,0,1.39,103.24,334.35,210.86,210.86,0,1146,13692,1112,8197,113.96,68.08,3267.100098,2050,29262,2.49,2779,129,103.24,43,31.92,34.87,25.21,8.45,65.13,0.03,22971,1354708.8,366,63689,17670,113,1018,184,19,0,0,8,0,8.53,-32797,3642,36127,7085,23.81,8588,38187,104.34,2405,2405,0,26442,155240,9680,715,6060,4209,15714,8588,11400,11584,10869,11400,33.51,146.81,31.31,137.18,31.01,135.86,17.73,8.53,2.48,0,76807,65.12,31.49,60.23,49.48,438.09,0,5653,1377,216,15506,2812,121263,121263,94192,37901,0,44480,27071,6189,76807,366,77173,10082,29852,216,960
Sep-22,0,1.39,103.24,334.35,210.86,210.86,0,1146,13692,1112,8197,113.96,68.08,3004.550049,2050,29262,2.49,2779,129,103.24,43,31.92,34.87,25.21,8.45,65.13,0.03,23511,1354708.8,366,63689,17670,113,1018,125,19,0,0,8,0,8.53,-32797,3642,36127,7085,23.81,10059,38187,104.34,2405,2405,0,26442,155240,10526,1622,6060,4209,15714,10059,13303,13428,11806,13303,33.51,146.81,31.31,137.18,31.01,135.86,17.73,8.53,2.48,0,76807,65.12,31.49,60.23,49.48,438.09,0,5653,1377,216,15506,3244,121263,121263,94192,37901,0,46819,27071,6189,76807,366,77173,10082,29852,216,976
Dec-22,0,1.39,103.24,334.35,210.86,210.86,0,1146,13692,1112,8197,113.96,68.08,3256.699951,2050,29262,2.49,2779,129,103.24,43,31.92,34.87,25.21,8.45,65.13,0.03,24478,1354708.8,366,63689,17670,113,1018,136,19,0,0,8,0,8.53,-32797,3642,36127,7085,23.81,10659,38187,104.34,2405,2405,0,26442,155240,11281,1558,6060,4209,15714,10659,13942,14078,12520,13942,33.51,146.81,31.31,137.18,31.01,135.86,17.73,8.53,2.48,0,76807,65.12,31.49,60.23,49.48,438.09,0,5653,1377,216,15506,3283,121263,121263,94192,37901,0,49275,27071,6189,76807,366,77173,10082,29852,216,996
Mar-23,0,1.58,106.88,334.35,203.66,203.66,0,1103,4543,8197,1462,117.61,3.95,3205.899902,2170,35738,2.36,2464,190,106.88,115,96.05,105.73,20.75,6.14,-5.73,0.03,25258,1168779.8,366,75786,16793,210,809,250,27,0,0,3,0,6.16,-47224,3250,37029,-6735,20.54,9800,39106,106.85,2405,2405,0,25277,183412,11652,1433,5775,5378,9346,9800,13045,13295,11862,13045,29.58,153.89,27.51,143.13,27.15,141.23,15.74,6.16,2.36,0,74172,-5.73,32.63,65.07,52.46,520.09,0,332,279,144,14881,3245,119827,119827,92784,39324,0,49780,27043,5965,74172,366,74538,13768,42798,144,1008
Jun-23,0,1.58,106.88,334.35,203.66,203.66,0,1103,4543,8197,1462,117.61,3.95,3302.25,2170,35738,2.36,2464,190,106.88,115,96.05,105.73,20.75,6.14,-5.73,0.03,25979,1168779.8,366,75786,16793,210,809,138,27,0,0,3,0,6.16,-47224,3250,37029,-6735,20.54,10484,39106,106.85,2405,2405,0,25277,183412,10747,1903,5775,5378,9346,10484,13932,14070,12167,13932,29.58,153.89,27.51,143.13,27.15,141.23,15.74,6.16,2.36,0,74172,-5.73,32.63,65.07,52.46,520.09,0,332,279,144,14881,3448,119827,119827,92784,39324,0,49862,27043,5965,74172,366,74538,13768,42798,144,969
Sep-23,0,1.58,106.88,334.35,203.66,203.66,0,1103,4543,8197,1462,117.61,3.95,3528.600098,2170,35738,2.36,2464,190,106.88,115,96.05,105.73,20.75,6.14,-5.73,0.03,26018,1168779.8,366,75786,16793,210,809,134,27,0,0,3,0,6.16,-47224,3250,37029,-6735,20.54,10929,39106,106.85,2405,2405,0,25277,183412,10345,1755,5775,5378,9346,10929,14444,14578,12823,14444,29.58,153.89,27.51,143.13,27.15,141.23,15.74,6.16,2.36,0,74172,-5.73,32.63,65.07,52.46,520.09,0,332,279,144,14881,3515,119827,119827,92784,39324,0,50165,27043,5965,74172,366,74538,13768,42798,144,979
Dec-23,0,1.58,106.88,334.35,203.66,203.66,0,1103,4543,8197,1462,117.61,3.95,3793.399902,2170,35738,2.36,2464,190,106.88,115,96.05,105.73,20.75,6.14,-5.73,0.03,25511,1168779.8,362,75786,16793,210,809,204,27,0,0,3,0,6.16,-47224,3250,37029,-6735,20.54,10753,39106,106.85,2405,2405,0,25277,183412,10970,1809,5775,5378,9346,10753,15004,15208,13399,14046,29.58,153.89,27.51,143.13,27.15,141.23,15.74,6.16,2.36,0,74172,-5.73,32.63,65.07,52.46,520.09,0,332,279,144,14881,3293,119827,119827,92784,39324,0,50844,27043,5965,74172,366,74538,13768,42798,144,964
