0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Mar '18,--,5711.00,,--,35.00,20.00,--,1836.00,284.00,--,--,--,--,--,1433.00,2103.00,198.00,2301.00,6.00,2295.00,--,2295.00,454.00,1841.00,--,--,1841.00,278.45,--,--,,13.22,13.21,,13.22,13.21,,--,--,,,--,--,--,,--,--,--
Jun '18,--,6013.00,,--,10.00,31.00,--,1861.00,318.00,--,--,--,--,--,1626.00,2167.00,211.00,2378.00,5.00,2373.00,--,2373.00,387.00,1986.00,--,--,1986.00,278.45,--,--,,14.26,14.26,,14.26,14.26,,--,--,,,--,--,--,,--,--,--
Sep '18,--,6485.00,,--,21.00,-6.00,--,2008.00,312.00,--,--,--,--,--,1773.00,2377.00,264.00,2641.00,4.00,2637.00,--,2637.00,483.00,2154.00,--,--,2154.00,279.00,--,--,,15.47,15.43,,15.47,15.43,,--,--,,,--,--,--,,--,--,--
Dec '18,--,6556.00,,--,77.00,-8.00,--,2064.00,328.00,--,--,--,--,--,1825.00,2270.00,116.00,2386.00,5.00,2381.00,--,2381.00,367.00,2014.00,--,--,2014.00,271.25,--,--,,14.81,14.80,,14.81,14.80,,--,--,,,--,--,--,,--,--,--
Mar '19,--,6958.00,,--,34.00,5.00,--,2146.00,318.00,--,--,--,--,--,2127.00,2328.00,214.00,2542.00,2.00,2540.00,--,2540.00,509.00,2031.00,--,--,2031.00,271.25,--,--,,14.97,14.97,,14.97,14.97,,--,--,,,--,--,--,,--,--,--
Jun '19,--,6765.00,,--,45.00,-28.00,--,2329.00,393.00,--,--,--,--,--,1891.00,2135.00,209.00,2344.00,27.00,2317.00,--,2317.00,524.00,1793.00,--,--,1793.00,271.25,--,--,,13.22,13.21,,13.22,13.21,,--,--,,,--,--,--,,--,--,--
Sep '19,--,8130.00,,--,2.00,27.00,--,2444.00,393.00,--,--,--,--,--,2486.00,2778.00,93.00,2871.00,72.00,2799.00,--,2799.00,567.00,2232.00,--,--,2232.00,271.00,--,--,,16.46,16.45,,16.46,16.45,,--,--,,,--,--,--,,--,--,--
Dec '19,--,8654.00,,--,46.00,5.00,--,2521.00,566.00,--,--,--,--,--,2580.00,2936.00,127.00,3063.00,72.00,2991.00,--,2991.00,547.00,2444.00,--,--,2444.00,542.73,--,--,,9.01,9.01,,9.01,9.01,,--,--,,,--,--,--,,--,--,--
Mar '20,--,9057.00,,--,51.00,--,--,2622.00,600.00,--,--,--,--,--,2805.00,2979.00,158.00,3137.00,67.00,3070.00,--,3070.00,570.00,2500.00,--,--,2500.00,543.00,--,--,,9.20,9.20,,9.20,9.20,,--,--,,,--,--,--,,--,--,--
Jun '20,--,8362.00,,--,31.00,-7.00,--,2650.00,651.00,--,--,--,--,--,2212.00,2825.00,316.00,3141.00,66.00,3075.00,--,3075.00,715.00,2360.00,--,--,2360.00,542.73,--,--,,8.70,8.70,,8.70,8.70,,--,--,,,--,--,--,,--,--,--
