0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Dec '07,--,--,,412.98,--,-0.49,--,63.81,32.96,23.92,--,--,--,--,365.94,--,24.20,--,3.84,--,--,--,39.00,--,--,--,210.65,155.46,--,--,,--,--,,--,--,,46.57,59.91,,,--,--,--,,--,--,--
Mar '08,--,1142.76,,455.32,--,-0.28,--,73.03,36.67,20.66,--,--,--,--,391.34,166.02,40.67,206.69,4.56,202.13,--,202.13,22.68,179.45,--,--,179.45,155.46,--,--,,--,--,,--,--,,46.57,59.91,,,--,--,--,,--,--,--
Jun '08,--,1207.12,,450.37,--,-48.10,--,84.50,38.23,--,--,--,--,--,524.94,157.18,17.02,174.20,3.66,170.54,--,170.54,30.50,140.04,--,--,140.04,155.46,--,--,,--,--,,--,--,,46.57,59.91,,,--,--,--,,--,--,--
Sep '08,--,1354.69,,481.81,--,9.59,--,78.64,40.61,--,--,--,--,--,573.64,170.40,16.87,187.27,5.59,181.68,--,181.68,30.25,151.43,--,--,151.43,155.46,--,--,,--,--,,--,--,,46.57,59.91,,,--,--,--,,--,--,--
Dec '08,--,1341.99,,467.36,--,-62.37,--,77.04,41.15,--,--,--,--,--,564.09,254.72,18.49,273.21,11.02,262.19,--,262.19,38.75,223.44,--,--,223.44,155.46,--,--,,--,--,,--,--,,46.33,59.61,,,--,--,--,,--,--,--
Mar '09,--,1366.74,,451.42,--,-1.65,--,77.88,55.66,--,--,--,--,--,489.94,293.49,15.45,308.94,13.27,295.67,--,295.67,42.75,252.92,--,--,252.92,155.46,--,--,,--,--,,--,--,,46.29,59.56,,,--,--,--,,--,--,--
Jun '09,--,1376.04,,518.60,--,-59.20,--,95.02,45.81,--,--,--,--,--,480.10,295.71,11.97,307.68,10.47,297.21,--,297.21,55.50,241.71,--,--,241.71,155.46,--,--,,--,--,,--,--,,46.44,59.74,,,--,--,--,,--,--,--
Sep '09,--,1442.88,,485.82,--,1.18,--,86.42,47.81,--,--,--,--,--,488.62,333.03,12.82,345.85,8.36,337.49,--,337.49,61.75,275.74,--,--,275.74,160.58,--,--,,--,--,,--,--,,48.97,60.99,,,--,--,--,,--,--,--
Dec '09,--,1438.50,,470.25,--,-32.79,--,88.95,45.67,--,--,--,--,--,532.21,334.21,17.84,352.05,4.37,347.68,--,347.68,58.65,289.03,--,--,289.03,160.58,--,--,,--,--,,--,--,,50.05,62.34,,,--,--,--,,--,--,--
Mar '10,--,1374.69,,566.12,--,-88.72,--,99.86,49.48,--,--,--,--,--,539.44,208.51,45.08,253.59,0.46,253.13,--,253.13,72.60,180.53,--,95.00,275.53,160.58,--,--,,--,--,,--,--,,50.08,62.38,,,--,--,--,,--,--,--
Jun '10,--,1479.76,,522.47,--,20.86,--,137.56,54.82,--,--,--,--,--,448.27,295.78,16.75,312.53,0.11,312.42,--,312.42,55.00,257.42,--,--,257.42,160.58,--,--,,--,--,,--,--,,50.10,62.40,,,--,--,--,,--,--,--
Sep '10,--,1615.35,,538.41,--,39.72,--,137.58,63.91,--,--,--,--,--,533.08,302.65,16.64,319.29,0.28,319.01,--,319.01,56.00,263.01,--,--,263.01,160.58,--,--,,3.27,3.27,,3.27,3.27,,50.13,62.43,,,--,--,--,,29.55,100.00,36.80
Dec '10,--,1553.67,,574.26,--,-66.35,--,135.09,65.25,--,--,--,--,--,592.49,252.93,25.69,278.62,2.93,275.69,--,275.69,43.00,232.69,--,--,232.69,160.58,--,--,,2.90,2.90,,2.90,2.90,,50.26,62.60,,,--,--,--,,29.55,100.00,36.80
