0,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,others,Other Income,EXPENDITURE,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),ANALYTICAL RATIOS,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,NPA Ratios :,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).,yrc
Jun '08,1549.22,652.84,50.75,13.63,624.80,,1455.98,213.68,419.26,--,802.32,296.73,--,505.59,175.45,330.14,--,--,330.14,358.56,--,--,,--,13.25,--,,--,--,,--,--,,--,--,--,--,--,,19.28,53.76,,,--,--,--,,--,--,--,200806
Sep '08,1767.23,705.69,54.00,18.13,694.40,,1631.58,260.40,473.04,--,874.43,255.78,--,618.65,215.74,402.91,--,--,402.91,358.89,--,--,,--,12.20,--,,--,--,,--,--,,--,--,--,--,--,,19.10,53.23,,,--,--,--,,--,--,--,200809
Dec '08,2095.78,806.18,56.44,26.37,732.17,,2055.09,266.07,486.15,--,909.63,131.98,--,777.65,276.79,500.86,--,--,500.86,358.98,--,--,,--,13.84,--,,--,--,,--,--,,--,--,--,--,--,,17.87,49.79,,,--,--,--,,--,--,--,200812
Mar '09,2053.63,886.79,49.00,49.80,845.51,,2006.62,257.51,482.10,--,1138.50,255.19,--,883.31,301.86,581.45,--,--,581.45,359.01,--,--,,--,13.69,--,,--,--,,--,--,,--,--,--,--,--,,17.89,49.84,,,--,--,--,,--,--,--,200903
Jun '09,1973.56,867.31,35.43,29.26,958.57,,1859.93,309.33,518.51,--,1176.36,315.29,--,861.07,299.03,562.04,--,--,562.04,359.76,--,--,,--,15.28,--,,--,--,,--,--,,--,--,--,--,--,,18.09,50.27,,,--,--,--,,--,--,--,200906
Sep '09,1950.19,859.56,30.02,20.59,1065.58,,1710.68,304.20,605.31,--,1305.75,498.89,--,806.86,275.22,531.64,--,--,531.64,401.95,--,--,,--,16.47,--,,--,--,,--,--,,--,--,--,--,--,,21.40,53.23,,,--,--,--,,--,--,--,200909
Dec '09,1987.88,845.43,27.35,22.99,988.09,,1534.54,308.54,654.03,--,1374.63,373.14,--,1001.49,345.51,655.98,--,--,655.98,403.63,--,--,,--,16.80,--,,--,--,,--,--,,--,--,--,--,--,,21.68,53.71,,,--,--,--,,--,--,--,200912
Mar '10,2074.97,856.01,27.20,30.27,933.54,,1528.38,333.75,676.05,--,1383.81,201.87,--,1181.94,417.07,764.87,--,--,764.87,405.17,--,--,,--,15.80,--,,--,--,,--,--,,--,--,--,--,--,,21.51,53.10,,,--,--,--,,--,--,--,201003
Jun '10,2310.89,935.26,32.48,46.96,1000.78,,1811.82,416.42,648.08,--,1450.05,333.00,--,1117.05,375.17,741.88,--,--,741.88,407.44,--,--,,--,14.54,--,,--,--,,--,--,,--,--,--,--,--,,22.21,54.51,,,--,--,--,,--,--,--,201006
Sep '10,2429.03,1123.54,38.37,33.31,1033.24,,2009.15,405.30,756.69,--,1486.35,378.76,--,1107.59,372.45,735.14,--,--,735.14,408.84,--,--,,--,13.68,--,,18.01,17.72,,18.01,17.72,,1362.36,409.35,1.12,0.34,1.50,,22.00,53.82,,,--,--,--,,15.33,100.00,37.51,201009
Dec '10,2600.55,1166.83,48.18,22.75,1147.71,,2105.19,396.16,826.19,--,1658.48,313.88,--,1344.60,453.24,891.36,--,--,891.36,409.90,--,--,,--,--,12.46,,21.77,21.44,,21.77,21.44,,1482.89,385.54,1.09,0.29,1.75,,21.98,53.63,,,--,--,--,,15.31,100.00,37.35,201012
Mar '11,3062.64,1213.06,63.59,27.37,1450.40,,2665.66,396.02,934.57,--,1820.81,254.39,--,1566.42,546.31,1020.11,--,--,1020.11,410.55,--,--,,--,--,12.65,,24.87,24.54,,24.87,24.54,,1599.42,410.35,1.01,0.26,1.81,,22.35,54.08,,,--,--,--,,15.44,100.00,37.38,201103
Jun '11,3470.10,1332.84,47.91,30.55,1167.87,,3157.30,509.96,823.53,--,1558.48,175.84,--,1382.64,440.29,942.35,--,--,942.35,411.88,--,--,,--,--,12.53,,22.92,22.67,,22.92,22.67,,1573.13,462.47,1.06,0.31,1.61,,21.78,52.87,,,--,--,--,,15.30,100.00,37.15,201106
Sep '11,3687.82,1548.64,11.17,28.34,1234.92,,3268.71,498.62,967.92,--,1775.64,405.58,--,1370.06,449.74,920.32,--,--,920.32,412.33,--,--,,--,11.35,--,,22.33,22.13,,22.33,22.13,,1743.80,548.77,1.08,0.34,1.52,,21.47,52.07,,,--,--,--,,15.34,100.00,37.21,201109
Dec '11,3963.56,1775.23,15.47,22.70,1429.81,,3636.66,542.04,968.87,--,2059.20,422.33,--,1636.87,534.60,1102.27,--,--,1102.27,412.57,--,--,,--,11.78,--,,26.73,26.53,,26.73,26.53,,1914.51,682.93,1.10,0.39,1.68,,22.13,53.63,,,--,--,--,,15.49,100.00,37.55,201112
Mar '12,4257.87,1737.56,23.88,41.01,1587.62,,3914.23,529.55,1166.61,--,2037.55,139.28,--,1898.27,621.00,1277.27,--,--,1277.27,413.20,--,--,,--,--,13.66,,30.94,30.75,,30.94,30.75,,1806.30,472.64,0.94,0.25,1.88,,22.35,54.08,,,--,--,--,,15.44,100.00,37.38,201203
Jun '12,4624.54,1806.32,22.92,29.08,1335.51,,4303.00,582.61,969.10,--,1963.66,258.84,--,1704.82,551.30,1153.52,--,--,1153.52,414.29,--,--,,--,--,13.03,,27.88,27.73,,27.88,27.73,,2091.72,604.90,1.06,0.31,1.62,,22.47,54.24,,,--,--,--,,15.45,100.00,37.30,201206
Sep '12,4736.27,1896.60,22.02,32.34,1593.06,,4360.30,577.90,1163.83,--,2178.26,509.42,--,1668.84,545.30,1123.54,--,--,1123.54,414.53,--,--,,--,12.99,--,,27.11,27.00,,27.11,27.00,,2191.01,654.24,1.10,0.33,1.50,,22.30,53.80,,,--,--,--,,15.44,100.00,37.25,201209
Dec '12,4906.65,2014.33,24.67,19.28,1615.37,,4470.12,615.05,1133.62,--,2361.51,386.83,--,1974.68,627.46,1347.22,--,--,1347.22,427.16,--,--,,--,13.73,--,,31.56,31.42,,31.56,31.42,,2275.30,678.70,1.10,0.33,1.71,,23.77,55.64,,,--,--,--,,15.18,100.00,35.53,201212
Mar '13,4898.77,2029.73,41.65,77.40,2007.17,,4382.89,601.42,1270.71,--,2799.70,595.35,--,2204.35,649.20,1555.15,--,--,1555.15,467.95,--,--,,--,--,17.00,,34.39,34.19,,34.39,34.19,,2393.42,704.13,1.06,0.32,1.94,,27.12,57.96,,,--,--,--,,15.85,100.00,33.88,201303
Jun '13,5189.09,2015.28,34.11,39.33,1781.31,,4412.60,643.08,1159.89,--,2843.55,712.25,--,2131.30,722.37,1408.93,--,--,1408.93,468.85,--,--,,--,--,16.37,,30.07,29.94,,30.07,29.94,,2489.68,789.74,1.10,0.35,1.73,,27.19,57.99,,,--,--,--,,15.91,100.00,33.92,201306
Sep '13,5394.31,2142.53,34.98,37.17,1766.09,,4672.32,643.92,1309.04,--,2749.80,687.49,--,2062.31,700.00,1362.31,--,--,1362.31,469.19,--,--,,--,--,16.35,,29.04,28.97,,29.04,28.97,,2734.47,838.27,1.19,0.37,1.58,,28.86,61.52,,,--,--,--,,15.92,100.00,33.94,201309
Dec '13,5557.25,2110.41,48.77,72.70,1644.42,,4805.12,655.10,1358.30,--,2615.03,202.49,--,2412.54,808.43,1604.11,--,--,1604.11,469.25,--,--,,--,--,16.02,,34.19,34.13,,34.19,34.13,,3008.20,1003.43,1.25,0.42,1.79,,29.20,62.22,,,--,--,--,,15.90,100.00,33.88,201312
