0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '19,--,32657.00,,--,--,--,--,15723.00,636.00,--,--,--,--,--,7273.00,9025.00,2205.00,11230.00,233.00,10997.00,--,10997.00,2283.00,8714.00,--,--,8714.00,375.00,--,--,,23.22,23.22,,23.22,23.22,,--,--,,,--,--,--,,--,--,--
Sep '19,--,32387.00,,--,--,--,--,16207.00,664.00,--,--,--,--,--,7186.00,8330.00,2638.00,10968.00,99.00,10869.00,--,10869.00,2233.00,8636.00,--,--,8636.00,375.00,--,--,,23.02,23.02,,23.02,23.02,,--,--,,,--,--,--,,--,--,--
Dec '19,--,33040.00,,--,--,--,--,16333.00,677.00,--,--,--,--,--,7262.00,8768.00,1206.00,9974.00,200.00,9774.00,--,9774.00,2091.00,7683.00,--,--,7683.00,375.00,--,--,,20.47,20.47,,20.47,20.47,,--,--,,,--,--,--,,--,--,--
Mar '20,--,33222.00,,--,--,--,--,16643.00,724.00,--,--,--,--,--,7326.00,8529.00,2033.00,10562.00,211.00,10351.00,--,10351.00,2124.00,8227.00,--,--,8227.00,375.00,--,--,,21.92,21.92,,21.92,21.92,,--,--,,,--,--,--,,--,--,--
Jun '20,--,31624.00,,--,--,--,--,16637.00,739.00,--,--,--,--,--,6393.00,7855.00,706.00,8561.00,118.00,8443.00,--,8443.00,2347.00,6096.00,--,--,6096.00,375.00,--,--,,16.25,16.25,,16.26,16.25,,--,--,,,--,--,--,,--,--,--
Sep '20,--,33365.00,,--,--,--,--,17211.00,755.00,--,--,--,--,--,6068.00,9331.00,1734.00,11065.00,149.00,10916.00,-1218.00,9698.00,2250.00,7448.00,--,--,7448.00,375.00,--,--,,19.85,19.85,,19.86,19.85,,--,--,,,--,--,--,,--,--,--
Dec '20,--,34957.00,,--,--,--,--,17779.00,771.00,--,--,--,--,--,6500.00,9907.00,2096.00,12003.00,159.00,11844.00,--,11844.00,2602.00,9242.00,--,--,9242.00,375.00,--,--,,24.63,24.63,,24.65,24.63,,--,--,,,--,--,--,,--,--,--
Mar '21,--,36017.00,,--,--,--,--,17419.00,788.00,--,--,--,--,--,7646.00,10164.00,864.00,11028.00,111.00,10917.00,--,10917.00,2743.00,8174.00,--,--,8174.00,370.00,--,--,,22.08,22.08,,22.09,22.08,,--,--,,,--,--,--,,--,--,--
Jun '21,--,37722.00,,--,--,--,--,19212.00,809.00,--,--,--,--,--,7317.00,10384.00,756.00,11140.00,120.00,11020.00,--,11020.00,2739.00,8281.00,--,--,8281.00,370.00,--,--,,22.39,22.39,,22.38,22.39,,--,--,,,--,--,--,,--,--,--
Sep '21,--,39315.00,,--,--,--,--,20007.00,844.00,--,--,--,--,--,7673.00,10791.00,2524.00,13315.00,117.00,13198.00,--,13198.00,3046.00,10152.00,--,--,10152.00,370.00,--,--,,27.45,27.45,,27.45,27.45,,--,--,,,--,--,--,,--,--,--
